ad_position,library_id,ad_library_url,page_name,facebook_followers,instagram_followers,facebook_handle,instagram_handle,advertiser_category,ad_creative,cta_button,destination_url,display_url,platforms,date_info,impressions,num_images,num_links,first_image_url,scraped_at
1,2188656625022558,https://www.facebook.com/ads/library/?id=2188656625022558,MrBeast,40300000,86700000,@mrbeast,@mrbeast,Reel creator,"Answer The Call, Win $10,000
40,258,064 people like this",,,,Facebook,"Nov 7, 2025",,0,1,,2026-05-01T02:39:21.866554
2,1199708821680762,https://www.facebook.com/ads/library/?id=1199708821680762,Lucky Fours,20200,292500,@luckyfoursco,@luckyfours,Jewelry & Watches Company,"BUY 1 GET 1 FREE + FREE SHIPPING 🎁 #1 Rated Affordable Luxury Watches 🔥
Get ready for a steal!
☑️ 316L Stainless Steel
☑️ Free Shipping Worldwide!",Shop now,https://luckyfours.com/products/chronometer,LUCKYFOURS.COM,Facebook,"Apr 2, 2025",,0,3,,2026-05-01T02:39:41.237924
3,780360537893837,https://www.facebook.com/ads/library/?id=780360537893837,"AMAZON.COM
Timex Watch
Shop Now",29700000,6400000,@Amazon,@amazon,Retail company,What time is it? Explore watches on Amazon.,Shop Now,https://www.amazon.com/dp/B0977QVRJS?smal=en_US&ref_=pfb_spv01_cb86eda8f4fe4d5c1db4ad23c6742f95,AMAZON.COM,Facebook,"Jul 24, 2025",,1,2,https://scontent-bos5-1.xx.fbcdn.net/v/t39.35426-6/523713186_1774346603259478_6680226959863643101_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=WOJzDTw0fakQ7kNvwG3xwt0&_nc_oc=AdrtKMAyRrD1imMmoWPSbQYxYLDqH-TkbMx6Ux8wpWKBKOCklIZl2d7pR554boSxL_M&_nc_zt=14&_nc_ht=scontent-bos5-1.xx&_nc_gid=d5jLDAfZYEA0KrxxUWjSlg&_nc_ss=7b289&oh=00_Af5mNCIkMCuX3zrM1KVLJIgt763V68FFgjQLgjjgJhD7Jw&oe=69FA36A1,2026-05-01T02:40:00.501002
4,1633282697278353,https://www.facebook.com/ads/library/?id=1633282697278353,Bulova,549800,368700,@Bulova,@bulova,Jewelry/watches,"Bulova Watches. Blending iconic styles, sporty functionality, and a dedication to craftsmanship.",Shop Now,https://www.bulova.com/us/en/product/26B206.html?redirect=false,BULOVA.COM,Facebook,"Feb 14, 2025",,1,2,https://scontent-bos5-1.xx.fbcdn.net/v/t39.35426-6/480240802_972806751084479_7292043780844968748_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=3JcPocFLwfwQ7kNvwEg0MsE&_nc_oc=AdrbcgtFbughOLphACmSBo2gIF7qhUG78D-Rz6IA176kXJtvknFpGRobiOichoehCpc&_nc_zt=14&_nc_ht=scontent-bos5-1.xx&_nc_gid=d5jLDAfZYEA0KrxxUWjSlg&_nc_ss=7b289&oh=00_Af6AbDGcRrDm7IrwsKN1XUfOhVsDsy6Kz5zY_8wdtLqneQ&oe=69FA35F8,2026-05-01T02:40:20.392895
5,2636038576742842,https://www.facebook.com/ads/library/?id=2636038576742842,Lucky Fours,20200,292500,@luckyfoursco,@luckyfours,Jewelry & Watches Company,"Owning two watches > Financing one
100+ styles. Buy 1, get 1 free → luckyfours.com/collections/watches",Shop now,http://luckyfours.com/collections/watches,LUCKYFOURS.COM,Facebook,"Jan 2, 2026",,0,3,,2026-05-01T02:40:39.923569
6,699989982793730,https://www.facebook.com/ads/library/?id=699989982793730,Lucky Fours,20200,292500,@luckyfoursco,@luckyfours,Jewelry & Watches Company,"2 Watches. 1 Price. All Style.
✔ Buy 1 Get 1 Free – Today Only
✔ 316L Stainless Steel Cases
✔ Trusted Quartz Movement
Shop Now → luckyfours.com/collections/watches",Shop Now,http://luckyfours.com/collections/watches,LUCKYFOURS.COM,Facebook,"Nov 21, 2025",,0,3,,2026-05-01T02:40:39.995960
7,1129916112573021,https://www.facebook.com/ads/library/?id=1129916112573021,Whatnot,0,0,,,,"Score deals on collectibles - from LEGO, Funko Pops, Labubus + more!",,http://play.google.com/store/apps/details?id=com.whatnot_mobile,,Facebook,"Sep 29, 2025",,0,2,,2026-05-01T02:40:40.062847
8,1128572302417520,https://www.facebook.com/ads/library/?id=1128572302417520,"AMAZON.COM
Amazon.com
Shop Now",29700000,6400000,@Amazon,@amazon,Retail company,What time is it? Explore watches on Amazon.,Shop Now,https://www.amazon.com/dp/B078WXWKJJ?smal=en_US&ref_=pfb_spv01_d87d42513739011e676b2b321215790c,AMAZON.COM,Facebook,"Jul 24, 2025",,1,2,https://scontent-bos5-1.xx.fbcdn.net/v/t39.35426-6/522384870_781140737678541_4994504238827546988_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=E7szLSTKcskQ7kNvwHks4uf&_nc_oc=AdrS-Wt9FcmEytS8EgqfeTBkzgoePhINFQnX9UzsqfRYW2JNvun75SglIN3IyaiQlmM&_nc_zt=14&_nc_ht=scontent-bos5-1.xx&_nc_gid=d5jLDAfZYEA0KrxxUWjSlg&_nc_ss=7b289&oh=00_Af5dWRwuc6IMrZCDlpku5wRvA6bvRyHiXyXebzhEGAZIpg&oe=69FA0656,2026-05-01T02:40:40.172774
9,587387527363062,https://www.facebook.com/ads/library/?id=587387527363062,Lucky Fours,20200,292500,@luckyfoursco,@luckyfours,Jewelry & Watches Company,"2025 is the year you start dressing like a High STATUS Man. BUY 1 GET 1 FREE + FREE SHIPPING 🎁 #1 Rated Affordable Luxury Watches 🔥
Get ready for a steal!
☑️ 316L Stainless Steel
☑️ Free Shipping Worldwide!
Shop now and score big at",Shop now,https://luckyfours.com/collections/products,LUCKYFOURS.COM,Facebook,"Jan 13, 2025",,0,3,,2026-05-01T02:41:00.501147
10,25559465393745855,https://www.facebook.com/ads/library/?id=25559465393745855,Whatnot,213500,954400,@RealWhatnot,@whatnot,Shopping & retail,"Score deals on collectibles - from Labubus, Funko Pops, LEGO + more!",Install now,http://itunes.apple.com/app/id1488269261,ITUNES.APPLE,Facebook,"Jan 26, 2026",,0,2,,2026-05-01T02:41:00.570564
